type,name,bloat,waste
table,public.mercury_transactions,1.7,3184 kB
table,public.cost_estimate_labor_rows,2.4,320 kB
index,public.checklist_instance_assignees::checklist_instance_assignees_pkey,2.6,176 kB
table,public.checklist_instances,1.7,176 kB
table,public.job_status_events,2.0,168 kB
table,public.material_part_price_history,1.8,144 kB
index,public.checklist_instances::checklist_instances_checklist_item_id_scheduled_date_key,1.8,120 kB
table,public.jobs_ledger,1.9,104 kB
table,public.checklist_instance_assignees,1.6,96 kB
table,public.material_parts,1.6,88 kB
table,public.purchase_order_items,7.0,48 kB
table,public.people_crew_jobs,1.6,48 kB
table,public.estimates,6.0,40 kB
table,public.pay_stub_days,1.6,40 kB
table,public.jobs_ledger_fixtures,1.4,32 kB
index,public.bid_count_row_custom_prices::bid_count_row_custom_prices_bid_id_count_row_id_price_book__key,1.4,32 kB
index,public.material_part_price_history::idx_price_history_changed_at,1.3,32 kB
index,public.checklist_instances::checklist_instances_pkey,1.2,32 kB
index,public.user_app_activity_daily::user_app_activity_daily_pkey,2.5,24 kB
table,public.prospects,1.4,24 kB
table,public.address_geocodes,1.4,24 kB
table,public.person_contract_documents,3.0,16 kB
table,public.stripe_webhook_events,2.0,16 kB
index,public.address_geocodes::address_geocodes_pkey,1.4,16 kB
index,public.jobs_ledger_team_members::jobs_ledger_team_members_job_id_user_id_key,1.4,16 kB
table,public.jobs_ledger_team_members,1.3,16 kB
table,public.bids,1.2,16 kB
index,public.mercury_transaction_attributions::mercury_transaction_attributions_pkey,1.2,16 kB
table,public.bid_count_row_custom_prices,1.2,16 kB
index,public.purchase_orders::idx_purchase_orders_status,0.0,16 kB
index,public.jobs_ledger_invoices::jobs_ledger_invoices_one_primary_rtb_bundle_per_job,0.0,16 kB
index,public.purchase_orders::idx_purchase_orders_notes_added_by,0.0,16 kB
index,public.purchase_orders::idx_purchase_orders_name,0.0,16 kB
index,public.purchase_orders::idx_purchase_orders_created_by,0.0,16 kB
index,public.purchase_orders::purchase_orders_pkey,0.0,16 kB
index,public.cost_estimates::cost_estimates_bid_id_key,2.0,8192 bytes
index,public.cost_estimates::cost_estimates_pkey,2.0,8192 bytes
index,public.cost_estimates::idx_cost_estimates_bid_id,2.0,8192 bytes
index,public.cost_estimates::idx_cost_estimates_po_rough_in,2.0,8192 bytes
index,public.cost_estimates::idx_cost_estimates_po_top_out,2.0,8192 bytes
index,public.cost_estimates::idx_cost_estimates_po_trim_set,2.0,8192 bytes
index,public.dispatch_request_dismissals::dispatch_request_dismissals_pkey,2.0,8192 bytes
index,public.estimates::estimates_estimate_number_unique,2.0,8192 bytes
index,public.estimates::estimates_job_ledger_id_unique,2.0,8192 bytes
index,public.estimates::estimates_master_status_updated,2.0,8192 bytes
index,public.estimates::estimates_pkey,2.0,8192 bytes
index,public.estimates::estimates_public_token_hash_unique,2.0,8192 bytes
table,public.project_workflow_steps,2.0,8192 bytes
index,public.bid_working_board_placements::bid_working_board_placements_pkey,2.0,8192 bytes
index,public.hours_days_correct::hours_days_correct_pkey,2.0,8192 bytes
index,public.hours_days_correct::idx_hours_days_correct_work_date,2.0,8192 bytes
index,public.workflow_template_steps::workflow_template_steps_pkey,2.0,8192 bytes
index,public.workflow_step_line_items::workflow_step_line_items_pkey,2.0,8192 bytes
index,public.workflow_step_line_items::idx_workflow_step_line_items_supply_house_invoice_id,2.0,8192 bytes
index,public.workflow_step_line_items::idx_workflow_step_line_items_step_id,2.0,8192 bytes
index,public.workflow_step_line_items::idx_workflow_step_line_items_sequence_order,2.0,8192 bytes
index,public.workflow_step_line_items::idx_workflow_step_line_items_purchase_order_id,2.0,8192 bytes
index,public.workflow_projections::workflow_projections_pkey,2.0,8192 bytes
index,public.workflow_projections::idx_workflow_projections_workflow_id,2.0,8192 bytes
index,public.workflow_projections::idx_workflow_projections_sequence_order,2.0,8192 bytes
index,public.users::users_pkey,2.0,8192 bytes
index,public.users::users_email_key,2.0,8192 bytes
index,public.bid_working_board_placements::bid_working_board_placements_user_column_position_idx,2.0,8192 bytes
index,public.jobs_ledger_invoices::idx_jobs_ledger_invoices_job_id,2.0,8192 bytes
index,public.jobs_ledger_invoices::idx_jobs_ledger_invoices_status,2.0,8192 bytes
index,public.jobs_ledger_invoices::jobs_ledger_invoices_pkey,2.0,8192 bytes
index,public.jobs_ledger_invoices::jobs_ledger_invoices_stripe_invoice_id_key,2.0,8192 bytes
index,public.jobs_ledger_payments::idx_jobs_ledger_payments_job_id,2.0,8192 bytes
index,public.jobs_ledger_payments::jobs_ledger_payments_pkey,2.0,8192 bytes
index,public.user_labels::user_labels_pkey,2.0,8192 bytes
index,public.jobs_ledger_thread_notes::idx_jobs_ledger_thread_notes_job_created,2.0,8192 bytes
index,public.jobs_ledger_thread_notes::jobs_ledger_thread_notes_pkey,2.0,8192 bytes
index,public.labor_book_entries::idx_labor_book_entries_fixture_type_id,2.0,8192 bytes
index,public.labor_book_entries::idx_labor_book_entries_version_id,2.0,8192 bytes
index,public.labor_book_entries::labor_book_entries_pkey,2.0,8192 bytes
index,public.people_crew_bids::people_crew_bids_pkey,2.0,8192 bytes
index,public.purchase_order_items::idx_purchase_order_items_po_id,2.0,8192 bytes
index,public.purchase_order_items::idx_purchase_order_items_part_id,2.0,8192 bytes
index,public.projects::projects_pkey,2.0,8192 bytes
index,public.people_pay_config::people_pay_config_pkey,2.0,8192 bytes
index,public.person_contract_documents::idx_person_contract_documents_person,2.0,8192 bytes
