query,total_exec_time,prop_exec_time,ncalls,sync_io_time
"SELECT wal->>$5 as type,
       wal->>$6 as schema,
       wal->>$7 as table,
       COALESCE(wal->>$8, $9) as columns,
       COALESCE(wal->>$10, $11) as record,
       COALESCE(wal->>$12, $13) as old_record,
       wal->>$14 as commit_timestamp,
       subscription_ids,
       errors,
       slot_changes_count
FROM realtime.list_changes($1, $2, $3, $4)",00:00:20.781959,13.1%,"2,084",00:00:00
"select set_config('search_path', $1, true), set_config($2, $3, true), set_config('role', $4, true), set_config('request.jwt.claims', $5, true), set_config('request.method', $6, true), set_config('request.path', $7, true), set_config('request.headers', $8, true), set_config('request.cookies', $9, true)",00:00:01.49457,0.9%,"1,325",00:00:00
"with sub_tables as (
        select
        rr.entity
        from
        pg_publication_tables pub,
        lateral (
        select
        format($8, pub.schemaname, pub.tablename)::regclass entity
        ) rr
        where
        pub.pubname = $1
        and pub.schemaname like (case $2 when $9 then $10 else $2 end)
        and pub.tablename like (case $3 when $11 then $12 else $3 end)
     )
     insert into realtime.subscription as x(
        subscription_id,
        entity,
        filters,
        claims,
        action_filter
      )
      select
        $4::text::uuid,
        sub_tables.entity,
        $6,
        $5,
        $7
      from
        sub_tables
        on conflict
        (subscription_id, entity, filters, action_filter)
        do update set
        claims = excluded.claims,
        created_at = now()
      returning
         id",00:00:02.089216,1.3%,369,00:00:00
BEGIN,00:00:00.00047,0.0%,365,00:00:00
COMMIT,00:00:00.000451,0.0%,340,00:00:00
SET client_encoding = 'UTF8',00:00:00.002257,0.0%,231,00:00:00
SET client_min_messages TO WARNING,00:00:00.000632,0.0%,231,00:00:00
"WITH pgrst_source AS ( SELECT ""public"".""users"".""id"", ""public"".""users"".""name"" FROM ""public"".""users"" WHERE  ""public"".""users"".""id"" = ANY ($1)    LIMIT $2 OFFSET $3 )  SELECT $4::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $5) AS body, nullif(current_setting($6, $7), $8) AS response_headers, nullif(current_setting($9, $10), $11) AS response_status, $12 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",00:00:00.369321,0.2%,229,00:00:00
"WITH pgrst_source AS ( SELECT ""public"".""people_pay_config"".""person_name"", ""public"".""people_pay_config"".""is_salary"" FROM ""public"".""people_pay_config"" WHERE  ""public"".""people_pay_config"".""person_name"" = ANY ($1)    LIMIT $2 OFFSET $3 )  SELECT $4::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $5) AS body, nullif(current_setting($6, $7), $8) AS response_headers, nullif(current_setting($9, $10), $11) AS response_status, $12 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",00:00:07.704077,4.9%,229,00:00:00
COMMIT,00:00:00.000375,0.0%,226,00:00:00
