name,size,percent_used,index_scans,seq_scans,unused
public.checklist_instance_assignees_pkey,288 kB,0%,0,0,t
public.checklist_instances_checklist_item_id_scheduled_date_key,264 kB,0%,0,0,t
public.mercury_transactions_account_posted_idx,216 kB,0%,0,0,t
public.cost_estimate_labor_rows_cost_estimate_id_fixture_key,208 kB,0%,0,0,t
public.mercury_transactions_pkey,176 kB,100%,8,0,f
public.checklist_instances_pkey,176 kB,0%,0,0,t
public.idx_price_history_changed_at,160 kB,0%,0,0,t
public.mercury_transactions_mercury_id_key,160 kB,100%,4,0,f
public.bid_count_row_custom_prices_bid_id_count_row_id_price_book__key,144 kB,0%,0,0,t
public.mercury_transactions_posted_at_desc_idx,136 kB,100%,6,0,f
public.material_part_prices_part_id_supply_house_id_key,128 kB,0%,0,0,t
public.bids_count_rows_pkey,128 kB,100%,1,0,f
public.cost_estimate_labor_rows_pkey,120 kB,0%,0,0,t
public.mercury_transaction_attributions_pkey,88 kB,0%,0,0,t
public.material_part_price_history_pkey,88 kB,0%,0,0,t
public.idx_material_part_prices_price,88 kB,0%,0,0,t
public.material_part_prices_pkey,88 kB,0%,0,0,t
public.idx_material_parts_name,88 kB,0%,0,0,t
public.job_status_events_pkey,88 kB,0%,0,0,t
public.bid_count_row_custom_prices_pkey,88 kB,0%,0,0,t
public.bid_pricing_assignments_bid_id_count_row_id_version_key,88 kB,0%,0,0,t
public.idx_material_parts_service_type_name,80 kB,0%,0,0,t
public.pay_stub_days_pay_stub_id_work_date_key,64 kB,0%,0,0,t
public.jobs_ledger_team_members_job_id_user_id_key,56 kB,0%,0,0,t
public.material_parts_pkey,56 kB,0%,0,0,t
public.idx_price_history_part_id,56 kB,0%,0,0,t
public.bid_pricing_assignments_pkey,56 kB,0%,0,0,t
public.idx_material_part_prices_part_id,56 kB,0%,0,0,t
public.idx_bid_pricing_assignments_count_row_id,56 kB,0%,0,0,t
public.idx_clock_sessions_user_date,56 kB,100%,122,0,f
public.people_hours_person_name_work_date_key,56 kB,0%,0,0,t
public.idx_job_status_events_changed_at,56 kB,0%,0,0,t
public.jobs_ledger_fixtures_pkey,56 kB,0%,0,0,t
public.jobs_ledger_pkey,56 kB,100%,12971,0,f
public.idx_people_hours_person_date,56 kB,0%,0,0,t
public.pay_stub_days_pkey,56 kB,0%,0,0,t
public.idx_job_status_events_job_id,56 kB,0%,0,0,t
public.people_hours_pkey,56 kB,0%,0,0,t
public.idx_jobs_ledger_fixtures_job_id,56 kB,100%,78,0,f
public.mercury_transaction_job_allocations_tx_job_unique,56 kB,0%,0,0,t
public.clock_sessions_pkey,56 kB,100%,72,0,f
public.jobs_ledger_team_members_pkey,56 kB,0%,0,0,t
public.address_geocodes_pkey,56 kB,0%,0,0,t
public.idx_jobs_ledger_team_members_job_id,48 kB,100%,2078,0,f
public.idx_cost_estimate_labor_rows_estimate_id,48 kB,100%,1,0,f
public.people_crew_jobs_pkey,48 kB,0%,0,0,t
public.idx_price_history_supply_house_id,48 kB,0%,0,0,t
public.idx_jobs_ledger_hcp_number,48 kB,100%,10,0,f
public.idx_bids_count_rows_bid_id,48 kB,100%,10,0,f
public.idx_pay_stub_days_person_date,48 kB,0%,0,0,t
public.address_geocodes_geocoded_at_idx,40 kB,0%,0,0,t
public.idx_material_parts_service_type_id,40 kB,0%,0,0,t
public.mercury_transaction_attributions_user_id_idx,40 kB,0%,0,0,t
public.idx_notification_history_recipient_sent,40 kB,0%,0,0,t
public.idx_job_schedule_blocks_shared_group,40 kB,0%,0,0,t
public.job_schedule_blocks_pkey,40 kB,0%,0,0,t
public.idx_jobs_ledger_job_name,40 kB,0%,0,0,t
public.prospect_comments_pkey,40 kB,0%,0,0,t
public.idx_clock_sessions_job_ledger_active_clocked_in,40 kB,100%,78,0,f
public.idx_job_schedule_blocks_assignee_work_date,40 kB,100%,2,0,f
public.mercury_transaction_job_allocations_pkey,40 kB,0%,0,0,t
public.dispatch_request_dismissals_pkey,40 kB,0%,0,0,t
public.user_app_activity_daily_pkey,40 kB,100%,72,0,f
public.idx_bid_count_row_custom_prices_bid_version,40 kB,100%,6,0,f
public.mercury_transaction_job_allocations_mercury_transaction_id_idx,40 kB,100%,8,0,f
public.fixture_types_service_type_id_name_key,40 kB,0%,0,0,t
public.idx_material_part_prices_supply_house_id,32 kB,0%,0,0,t
public.idx_material_parts_manufacturer,32 kB,0%,0,0,t
public.idx_bid_pricing_assignments_price_book_entry_id,32 kB,0%,0,0,t
public.idx_job_schedule_blocks_job_work_date,32 kB,100%,102,0,f
public.idx_fixture_types_name,32 kB,100%,5,0,f
public.stripe_webhook_events_pkey,32 kB,0%,0,0,t
public.prospects_pkey,32 kB,0%,0,0,t
public.idx_material_parts_part_type_id,32 kB,0%,0,0,t
public.user_bid_notes_read_state_pkey,32 kB,100%,11,0,f
public.idx_bids_selected_labor_book_version_id,16 kB,0%,0,0,t
public.idx_workflow_step_line_items_supply_house_invoice_id,16 kB,0%,0,0,t
public.idx_people_hours_work_date,16 kB,100%,6,0,f
public.idx_counts_fixture_groups_service_type_id,16 kB,0%,0,0,t
public.idx_email_templates_type,16 kB,100%,2,0,f
public.service_types_name_key,16 kB,0%,0,0,t
public.idx_person_offsets_occurred_date,16 kB,0%,0,0,t
public.job_collect_payment_flows_pkey,16 kB,0%,0,0,t
public.bid_working_board_columns_user_position_idx,16 kB,100%,10,0,f
public.notification_templates_pkey,16 kB,0%,0,0,t
public.idx_assembly_types_service_type_id,16 kB,0%,0,0,t
public.users_pkey,16 kB,100%,9961,0,f
public.idx_master_assistants_master_id,16 kB,100%,2,0,f
public.mercury_tally_transaction_notes_pkey,16 kB,0%,0,0,t
public.idx_user_tag_org_master_user_id,16 kB,0%,0,0,t
public.idx_price_book_versions_name,16 kB,0%,0,0,t
public.inspection_types_pkey,16 kB,0%,0,0,t
public.idx_vehicle_possessions_vehicle_id,16 kB,0%,0,0,t
public.idx_person_licenses_date_of_expiry,16 kB,0%,0,0,t
public.idx_people_master_user_id_kind,16 kB,0%,0,0,t
public.idx_service_types_sequence_order,16 kB,0%,0,0,t
public.idx_labor_book_versions_service_type_id,16 kB,0%,0,0,t
public.idx_prospect_callbacks_callback_date,16 kB,0%,0,0,t
public.idx_jobs_ledger_invoice_stripe_email_sends_invoice_sent,16 kB,0%,0,0,t
public.people_pkey,16 kB,0%,0,0,t
public.idx_material_po_generator_entries_job_ledger_id,16 kB,0%,0,0,t
public.push_subscriptions_user_id_endpoint_key,16 kB,0%,0,0,t
public.idx_step_actions_step_id,16 kB,0%,0,0,t
public.bids_takeoff_template_mapping_count_row_id_template_id_stag_key,16 kB,0%,0,0,t
public.idx_project_workflow_steps_status,16 kB,0%,0,0,t
public.checklist_tech_tree_edges_to_idx,16 kB,0%,0,0,t
public.idx_clock_sessions_pending,16 kB,0%,0,0,t
public.idx_material_templates_service_type_id,16 kB,0%,0,0,t
public.idx_prospect_comments_prospect_id,16 kB,0%,0,0,t
public.workflow_projections_pkey,16 kB,0%,0,0,t
public.bid_working_board_columns_user_position_unique,16 kB,0%,0,0,t
public.idx_prospect_comments_created_at,16 kB,0%,0,0,t
public.idx_pay_stubs_person_period,16 kB,0%,0,0,t
public.idx_service_types_name,16 kB,0%,0,0,t
public.idx_hours_reviewed_start_date,16 kB,0%,0,0,t
public.bids_pkey,16 kB,100%,1727,0,f
public.idx_estimate_catalog_events_item_edited,16 kB,0%,0,0,t
public.idx_purchase_order_items_sequence_order,16 kB,0%,0,0,t
public.customer_contacts_pkey,16 kB,0%,0,0,t
public.people_crew_bids_pkey,16 kB,0%,0,0,t
public.idx_part_types_sequence_order,16 kB,0%,0,0,t
public.user_pinned_tabs_user_path_tab_key,16 kB,100%,9,0,f
public.idx_part_types_name,16 kB,0%,0,0,t
public.idx_housing_possessions_dates,16 kB,0%,0,0,t
public.estimates_estimate_number_unique,16 kB,0%,0,0,t
public.pay_approved_masters_pkey,16 kB,0%,0,0,t
public.push_subscriptions_pkey,16 kB,0%,0,0,t
public.idx_purchase_order_items_po_id,16 kB,0%,0,0,t
public.idx_people_team_members_team_id,16 kB,0%,0,0,t
public.idx_housing_possessions_user_id,16 kB,0%,0,0,t
public.idx_jobs_tally_parts_purchase_order_id,16 kB,0%,0,0,t
public.bids_submission_entries_pkey,16 kB,0%,0,0,t
public.checklist_tech_tree_groups_roadmap_id_idx,16 kB,0%,0,0,t
public.jobs_ledger_materials_pkey,16 kB,0%,0,0,t
public.idx_purchase_orders_notes_added_by,16 kB,0%,0,0,t
public.idx_labor_book_entries_version_id,16 kB,0%,0,0,t
public.checklist_tech_tree_group_tasks_group_id_idx,16 kB,0%,0,0,t
public.inspections_pkey,16 kB,0%,0,0,t
public.project_workflows_pkey,16 kB,100%,14,0,f
public.idx_jobs_ledger_invoices_job_id,16 kB,100%,2074,0,f
public.idx_inspections_project,16 kB,0%,0,0,t
public.customers_stripe_customer_id_key,16 kB,0%,0,0,t
public.supply_houses_pkey,16 kB,0%,0,0,t
public.idx_pay_stub_days_pay_stub_id,16 kB,0%,0,0,t
public.checklist_tech_tree_edges_from_group_id_to_group_id_key,16 kB,0%,0,0,t
public.idx_bids_selected_takeoff_book_version_id,16 kB,0%,0,0,t
public.material_templates_pkey,16 kB,0%,0,0,t
public.idx_team_feedback_submissions_manager,16 kB,0%,0,0,t
public.inspection_quick_links_pkey,16 kB,0%,0,0,t
public.idx_team_leader_assignments_member,16 kB,100%,14,0,f
public.pay_stub_deductions_pkey,16 kB,0%,0,0,t
public.idx_prospects_created_by,16 kB,0%,0,0,t
public.idx_jobs_receivables_master_user_id,16 kB,0%,0,0,t
public.price_book_entries_pkey,16 kB,0%,0,0,t
public.idx_supply_houses_name,16 kB,100%,5,0,f
public.step_subscriptions_step_id_user_id_key,16 kB,100%,1,0,f
public.idx_person_license_cost_lines_license_id,16 kB,0%,0,0,t
public.idx_bids_bid_due_date,16 kB,100%,9,0,f
public.idx_purchase_orders_created_by,16 kB,0%,0,0,t
public.idx_pay_approved_masters_master_id,16 kB,100%,180366,0,f
public.idx_external_team_job_payments_is_paid,16 kB,0%,0,0,t
public.counts_fixture_group_items_pkey,16 kB,0%,0,0,t
public.idx_material_template_items_part_id,16 kB,0%,0,0,t
public.pay_stubs_pkey,16 kB,0%,0,0,t
public.users_email_key,16 kB,0%,0,0,t
public.idx_team_feedback_submissions_reviewer,16 kB,0%,0,0,t
public.idx_bids_selected_price_book_version_id,16 kB,0%,0,0,t
public.fixture_labor_defaults_pkey,16 kB,0%,0,0,t
public.email_templates_template_type_key,16 kB,0%,0,0,t
public.material_template_items_pkey,16 kB,0%,0,0,t
public.service_types_pkey,16 kB,0%,0,0,t
public.checklist_tech_tree_task_assignees_pkey,16 kB,0%,0,0,t
public.idx_cost_estimates_po_rough_in,16 kB,0%,0,0,t
public.idx_job_collect_payment_flows_status,16 kB,0%,0,0,t
public.idx_supply_house_invoices_due_date,16 kB,0%,0,0,t
public.vehicle_replacement_value_entries_pkey,16 kB,0%,0,0,t
public.user_prospect_copy_templates_pkey,16 kB,0%,0,0,t
public.vehicles_pkey,16 kB,0%,0,0,t
public.idx_takeoff_book_entries_fixture_name,16 kB,0%,0,0,t
public.idx_person_offsets_pay_stub_id,16 kB,0%,0,0,t
public.idx_bids_customer_id,16 kB,0%,0,0,t
public.contract_template_documents_pkey,16 kB,100%,2,0,f
public.idx_cost_estimates_po_top_out,16 kB,0%,0,0,t
public.idx_purchase_order_items_part_id,16 kB,0%,0,0,t
public.user_daily_goals_ack_pkey,16 kB,100%,2,0,f
public.idx_user_dashboard_goals_user_id,16 kB,0%,0,0,t
public.checklist_tech_tree_roadmap_members_user_id_idx,16 kB,0%,0,0,t
public.team_leader_clock_notify_prefs_pkey,16 kB,0%,0,0,t
public.master_superintendents_pkey,16 kB,100%,2719,0,f
public.idx_assembly_types_sequence_order,16 kB,0%,0,0,t
public.project_workflow_step_actions_pkey,16 kB,0%,0,0,t
public.idx_bids_service_type_id,16 kB,0%,0,0,t
public.common_jobs_pkey,16 kB,0%,0,0,t
public.idx_vehicle_possessions_user_id,16 kB,0%,0,0,t
public.hours_reviewed_pkey,16 kB,0%,0,0,t
public.idx_report_templates_sequence,16 kB,100%,2,0,f
public.idx_takeoff_book_versions_service_type_id,16 kB,0%,0,0,t
public.idx_job_book_entries_service_type_sequence,16 kB,0%,0,0,t
public.idx_housing_possessions_housing_id,16 kB,0%,0,0,t
public.idx_user_time_off_user_dates,16 kB,100%,39,0,f
public.people_labor_job_items_pkey,16 kB,0%,0,0,t
public.idx_person_offsets_person_name,16 kB,0%,0,0,t
public.idx_bids_bid_number,16 kB,0%,0,0,t
public.bids_gc_builders_pkey,16 kB,100%,162,0,f
public.checklist_tech_tree_roadmap_members_pkey,16 kB,0%,0,0,t
public.assembly_types_pkey,16 kB,100%,50,0,f
public.master_primaries_pkey,16 kB,100%,2720,0,f
public.assembly_types_service_type_name_unique,16 kB,0%,0,0,t
public.contract_templates_pkey,16 kB,100%,1,0,f
public.user_time_off_pkey,16 kB,0%,0,0,t
public.idx_contract_templates_sequence,16 kB,100%,1,0,f
public.bid_working_board_columns_user_system_key_unique,16 kB,100%,1,0,f
public.housing_possessions_pkey,16 kB,0%,0,0,t
public.mercury_transaction_job_allocations_job_id_idx,16 kB,0%,0,0,t
public.idx_price_book_entries_fixture_type_id,16 kB,0%,0,0,t
public.idx_user_labels_user_id,16 kB,0%,0,0,t
public.idx_takeoff_book_entry_items_entry_id,16 kB,0%,0,0,t
public.jobs_tally_parts_pkey,16 kB,0%,0,0,t
public.idx_workflow_projections_workflow_id,16 kB,0%,0,0,t
public.mercury_tally_transaction_notes_user_id_idx,16 kB,0%,0,0,t
public.customer_contact_persons_pkey,16 kB,0%,0,0,t
public.master_shares_pkey,16 kB,0%,0,0,t
public.email_templates_pkey,16 kB,0%,0,0,t
public.idx_supply_house_invoices_is_paid,16 kB,0%,0,0,t
public.idx_bid_pricing_assignments_fixed_price,16 kB,0%,0,0,t
public.idx_people_crew_jobs_person,16 kB,0%,0,0,t
public.idx_hours_days_correct_work_date,16 kB,100%,2,0,f
public.idx_bids_estimator_id,16 kB,0%,0,0,t
public.person_contract_documents_pkey,16 kB,0%,0,0,t
public.idx_price_book_entries_version_id,16 kB,0%,0,0,t
public.report_enabled_users_pkey,16 kB,0%,0,0,t
public.idx_cost_estimates_po_trim_set,16 kB,0%,0,0,t
public.idx_purchase_order_items_price_confirmed_at,16 kB,0%,0,0,t
public.jobs_ledger_thread_notes_pkey,16 kB,0%,0,0,t
public.idx_reports_created_by,16 kB,100%,1,0,f
public.idx_dispatch_request_notes_request_created,16 kB,0%,0,0,t
public.team_feedback_submissions_pkey,16 kB,0%,0,0,t
public.idx_workflow_projections_sequence_order,16 kB,0%,0,0,t
public.idx_team_feedback_peer_ratings_peer,16 kB,0%,0,0,t
public.idx_clock_sessions_salary_unique_split,16 kB,100%,28,0,f
public.idx_jobs_ledger_thread_notes_job_created,16 kB,100%,28,0,f
public.idx_jobs_tally_parts_job_id,16 kB,0%,0,0,t
public.cost_estimates_pkey,16 kB,100%,28,0,f
public.idx_people_crew_jobs_work_date,16 kB,0%,0,0,t
public.app_settings_pkey,16 kB,100%,83,0,f
public.idx_material_po_generator_entries_created_at,16 kB,0%,0,0,t
public.material_po_generator_entries_pkey,16 kB,0%,0,0,t
public.estimator_request_dismissals_pkey,16 kB,100%,1,0,f
public.idx_purchase_orders_status,16 kB,0%,0,0,t
public.estimator_request_notes_pkey,16 kB,0%,0,0,t
public.idx_bids_created_by,16 kB,0%,0,0,t
public.idx_vehicle_possessions_dates,16 kB,0%,0,0,t
public.idx_people_labor_jobs_master_user_id,16 kB,0%,0,0,t
public.idx_master_shares_viewing_master_id,16 kB,0%,0,0,t
public.idx_team_feedback_submissions_cycle,16 kB,0%,0,0,t
public.team_leader_clock_notify_prefs_assignment_unique,16 kB,0%,0,0,t
public.idx_inspection_types_sequence,16 kB,0%,0,0,t
public.idx_estimate_catalog_items_sort_live,16 kB,100%,2,0,f
public.job_book_entries_pkey,16 kB,0%,0,0,t
public.idx_team_leader_assignments_leader,16 kB,100%,1,0,f
public.housing_units_pkey,16 kB,0%,0,0,t
public.part_types_service_type_id_name_key,16 kB,0%,0,0,t
public.mercury_tally_transaction_notes_tx_user_unique,16 kB,0%,0,0,t
public.jobs_ledger_invoices_pkey,16 kB,0%,0,0,t
public.idx_person_contract_documents_public_token_hash,16 kB,0%,0,0,t
public.idx_projects_master_user_id,16 kB,0%,0,0,t
public.material_po_generator_entries_po_code_unique,16 kB,0%,0,0,t
public.attendance_incidents_pkey,16 kB,0%,0,0,t
public.checklist_tech_tree_edges_from_idx,16 kB,0%,0,0,t
public.notification_templates_template_type_key,16 kB,0%,0,0,t
public.estimates_master_status_updated,16 kB,0%,0,0,t
public.prospect_callbacks_pkey,16 kB,0%,0,0,t
public.idx_inspections_scheduled_date,16 kB,0%,0,0,t
public.idx_takeoff_book_versions_name,16 kB,0%,0,0,t
public.idx_projects_customer_id,16 kB,0%,0,0,t
public.takeoff_book_versions_pkey,16 kB,0%,0,0,t
public.price_book_versions_pkey,16 kB,0%,0,0,t
public.project_workflow_steps_pkey,16 kB,0%,0,0,t
public.dev_ignored_checklist_items_pkey,16 kB,0%,0,0,t
public.quickfill_section_mark_events_section_marked_at_desc_idx,16 kB,0%,0,0,t
public.idx_material_templates_name,16 kB,0%,0,0,t
public.idx_external_team_job_payments_person_id,16 kB,0%,0,0,t
public.team_leader_assignments_pkey,16 kB,0%,0,0,t
public.idx_workflow_step_line_items_purchase_order_id,16 kB,0%,0,0,t
public.reports_pkey,16 kB,0%,0,0,t
public.idx_master_superintendents_master_id,16 kB,100%,2,0,f
public.idx_project_workflow_steps_dates,16 kB,0%,0,0,t
public.estimator_group_members_pkey,16 kB,100%,3,0,f
public.idx_person_contract_documents_status,16 kB,0%,0,0,t
public.idx_labels_master_user_id,16 kB,0%,0,0,t
public.person_offsets_pkey,16 kB,0%,0,0,t
public.labels_pkey,16 kB,0%,0,0,t
public.vehicle_possessions_pkey,16 kB,0%,0,0,t
public.idx_bids_gc_builders_created_by,16 kB,0%,0,0,t
public.idx_jobs_ledger_payments_mercury_transaction_id,16 kB,100%,108,0,f
public.projects_pkey,16 kB,0%,0,0,t
public.common_jobs_job_id_idx,16 kB,0%,0,0,t
public.idx_bids_submission_entries_bid_id,16 kB,100%,10,0,f
public.jobs_ledger_invoices_one_primary_rtb_bundle_per_job,16 kB,0%,0,0,t
public.idx_step_actions_performed_at,16 kB,0%,0,0,t
public.idx_part_types_service_type_id,16 kB,0%,0,0,t
public.idx_jobs_ledger_team_members_user_id,16 kB,100%,2,0,f
public.idx_pay_stub_deductions_pay_stub_id,16 kB,0%,0,0,t
public.idx_person_contract_assignments_template,16 kB,0%,0,0,t
public.person_license_cost_lines_pkey,16 kB,0%,0,0,t
public.idx_bids_takeoff_rough_part_lines_bid_id,16 kB,100%,9,0,f
public.mercury_debit_card_user_links_pkey,16 kB,0%,0,0,t
public.idx_jobs_ledger_payments_invoice_id,16 kB,100%,2,0,f
public.people_pay_config_pkey,16 kB,100%,233,0,f
public.idx_prospect_timer_events_user_id,16 kB,0%,0,0,t
public.user_labels_pkey,16 kB,0%,0,0,t
public.user_dashboard_goals_pkey,16 kB,0%,0,0,t
public.counts_fixture_groups_pkey,16 kB,0%,0,0,t
public.bid_working_board_placements_user_column_position_idx,16 kB,100%,6,0,f
public.part_types_pkey,16 kB,0%,0,0,t
public.customers_pkey,16 kB,100%,946,0,f
public.idx_clock_sessions_salary_user_date,16 kB,0%,0,0,t
public.mercury_transaction_ar_returned_updated_at_idx,16 kB,0%,0,0,t
public.idx_supply_house_invoice_job_allocations_job_id,16 kB,0%,0,0,t
public.master_assistants_pkey,16 kB,100%,6964,0,f
public.person_contract_documents_person_lineage_version_key,16 kB,0%,0,0,t
public.hours_reviewed_person_name_start_date_key,16 kB,0%,0,0,t
public.labels_master_slug_unique,16 kB,0%,0,0,t
public.notification_history_pkey,16 kB,0%,0,0,t
public.idx_master_shares_sharing_master_id,16 kB,100%,3292,0,f
public.checklist_tech_tree_edges_pkey,16 kB,0%,0,0,t
public.mercury_debit_card_nicknames_pkey,16 kB,0%,0,0,t
public.idx_person_contract_assignments_person,16 kB,0%,0,0,t
public.idx_takeoff_book_entries_version_id,16 kB,0%,0,0,t
public.dev_read_completed_items_pkey,16 kB,0%,0,0,t
public.prospect_timer_events_pkey,16 kB,0%,0,0,t
public.job_collect_payment_flows_job_id_key,16 kB,0%,0,0,t
public.idx_jobs_ledger_materials_job_id,16 kB,100%,18,0,f
public.idx_clock_sessions_salary_unique_continuous,16 kB,100%,24,0,f
public.idx_user_prospect_quick_notes_user_id,16 kB,0%,0,0,t
public.idx_team_feedback_peer_ratings_submission,16 kB,0%,0,0,t
public.user_dashboard_buttons_pkey,16 kB,100%,2,0,f
public.idx_pay_stub_payments_stub_paid_at,16 kB,0%,0,0,t
public.estimator_requests_pkey,16 kB,0%,0,0,t
public.idx_inspections_job_ledger,16 kB,0%,0,0,t
public.idx_assembly_types_name,16 kB,0%,0,0,t
public.report_templates_pkey,16 kB,100%,166,0,f
public.idx_master_superintendents_superintendent_id,16 kB,0%,0,0,t
public.bids_takeoff_rough_part_lines_pkey,16 kB,0%,0,0,t
public.salary_work_schedule_templates_pkey,16 kB,100%,40,0,f
public.idx_purchase_order_items_source_template_id,16 kB,0%,0,0,t
public.team_feedback_peer_ratings_submission_user_unique,16 kB,0%,0,0,t
public.idx_person_licenses_person_name,16 kB,0%,0,0,t
public.dispatch_group_members_pkey,16 kB,100%,1,0,f
