total_exec_time,prop_exec_time,ncalls,sync_io_time,query
00:00:12.335535,96.6%,2,00:00:00,"SELECT
  e.name,
  n.nspname AS schema,
  e.default_version,
  x.extversion AS installed_version,
  e.comment,
  ev.schema AS default_version_schema
FROM
  pg_available_extensions e
  LEFT JOIN pg_extension x ON e.name = x.extname
  LEFT JOIN pg_namespace n ON x.extnamespace = n.oid
  LEFT JOIN pg_available_extension_versions ev
    ON ev.name = e.name AND ev.version = e.default_version"
00:00:00.095612,0.7%,1,00:00:00,"select
      *
    from supabase_migrations.schema_migrations sm
    order by sm.version desc
  

-- source: dashboard
-- user: session:2927a5a6-6d2c-4db3-a3ef-e0f8856f8eb6
-- date: 2026-04-29T20:55:25.461Z"
00:00:00.082,0.6%,1,00:00:00,"COPY (WITH total_objects AS (
  SELECT c.relkind, pg_size_pretty(SUM(pg_relation_size(c.oid))) AS size
  FROM pg_class c JOIN pg_namespace n ON n.oid = c.relnamespace
  WHERE c.relkind IN ('i', 'r', 't') AND NOT n.nspname LIKE ANY('{information\_schema,pg\_%,\_analytics,\_realtime,\_supavisor,auth,extensions,pgbouncer,realtime,storage,supabase\_functions,supabase\_migrations,cron,dbdev,graphql,graphql\_public,net,pgmq,pgsodium,pgsodium\_masks,pgtle,repack,tiger,tiger\_data,timescaledb\_%,\_timescaledb\_%,topology,vault}'::text[])
  GROUP BY c.relkind
), cache_hit AS (
  SELECT
    'i' AS relkind,
    ROUND(SUM(idx_blks_hit)::numeric / nullif(SUM(idx_blks_hit + idx_blks_read), 0), 2) AS ratio
  FROM pg_statio_user_indexes
  WHERE NOT schemaname LIKE ANY('{information\_schema,pg\_%,\_analytics,\_realtime,\_supavisor,auth,extensions,pgbouncer,realtime,storage,supabase\_functions,supabase\_migrations,cron,dbdev,graphql,graphql\_public,net,pgmq,pgsodium,pgsodium\_masks,pgtle,repack,tiger,tiger\_data,timescaledb\_%,\_timescaledb\_%,topology,vault}'::text[])
    UNION
  SELECT
    't' AS relkind,
    /*
      Handle column names for both PG15 and 17
    */
    ROUND(
      (
        SUM(
          COALESCE(
            (to_jsonb(s) ->> 'rel_blks_hit')::bigint,
            (to_jsonb(s) ->> 'heap_blks_hit')::bigint,
            0
          )
        )::numeric
        /
        nullif(
          SUM(
            COALESCE(
              (to_jsonb(s) ->> 'rel_blks_hit')::bigint,
              (to_jsonb(s) ->> 'heap_blks_hit')::bigint,
              0
            )
            +
            COALESCE(
              (to_jsonb(s) ->> 'rel_blks_read')::bigint,
              (to_jsonb(s) ->> 'heap_blks_read')::bigint,
              0
            )
          ),
          0
        )
      ),
      2
    ) AS ratio
  FROM pg_statio_user_tables s
  WHERE NOT schemaname LIKE ANY('{information\_schema,pg\_%,\_analytics,\_realtime,\_supavisor,auth,extensions,pgbouncer,realtime,storage,supabase\_functions,supabase\_migrations,cron,dbdev,graphql,graphql\_public,net,pgmq,pgsodium,pgsodium\_masks,pgtle,repack,tiger,tiger\_data,timescaledb\_%,\_timescaledb\_%,topology,vault}'::text[])
)
SELECT
  pg_size_pretty(pg_database_size('postgres')) AS database_size,
  COALESCE((SELECT size FROM total_objects WHERE relkind = 'i'), '0 bytes') AS total_index_size,
  COALESCE((SELECT size FROM total_objects WHERE relkind = 'r'), '0 bytes') AS total_table_size,
  COALESCE((SELECT size FROM total_objects WHERE relkind = 't'), '0 bytes') AS total_toast_size,
  COALESCE((SELECT (now() - stats_reset)::text FROM extensions.pg_stat_statements_info), 'N/A') AS time_since_stats_reset,
  (SELECT COALESCE(ratio::text, 'N/A') FROM cache_hit WHERE relkind = 'i') AS index_hit_rate,
  (SELECT COALESCE(ratio::text, 'N/A') FROM cache_hit WHERE relkind = 't') AS table_hit_rate,
  COALESCE((SELECT pg_size_pretty(SUM(size)) FROM pg_ls_waldir()), '0 bytes') AS wal_size
) TO STDOUT WITH CSV HEADER"
00:00:00.068326,0.5%,5,00:00:00,"SELECT net.http_post(
    url := (SELECT decrypted_secret FROM vault.decrypted_secrets WHERE name = $1) || $2,
    headers := jsonb_build_object(
      $3, $4,
      $5, (SELECT decrypted_secret FROM vault.decrypted_secrets WHERE name = $6)
    ),
    body := $7::jsonb
  ) AS request_id"
00:00:00.060713,0.5%,18,00:00:00,SELECT public.auto_clock_out_eod_if_due()
00:00:00.038107,0.3%,1,00:00:00,"COPY (WITH constants AS (
  SELECT current_setting('block_size')::numeric AS bs, 23 AS hdr, 4 AS ma
), bloat_info AS (
  SELECT
    ma,bs,schemaname,tablename,
    (datawidth+(hdr+ma-(case when hdr%ma=0 THEN ma ELSE hdr%ma END)))::numeric AS datahdr,
    (maxfracsum*(nullhdr+ma-(case when nullhdr%ma=0 THEN ma ELSE nullhdr%ma END))) AS nullhdr2
  FROM (
    SELECT
      schemaname, tablename, hdr, ma, bs,
      SUM((1-null_frac)*avg_width) AS datawidth,
      MAX(null_frac) AS maxfracsum,
      hdr+(
        SELECT 1+count(*)/8
        FROM pg_stats s2
        WHERE null_frac<>0 AND s2.schemaname = s.schemaname AND s2.tablename = s.tablename
      ) AS nullhdr
    FROM pg_stats s, constants
    GROUP BY 1,2,3,4,5
  ) AS foo
), table_bloat AS (
  SELECT
    schemaname, tablename, cc.relpages, bs,
    CEIL((cc.reltuples*((datahdr+ma-
      (CASE WHEN datahdr%ma=0 THEN ma ELSE datahdr%ma END))+nullhdr2+4))/(bs-20::float)) AS otta
  FROM bloat_info
  JOIN pg_class cc ON cc.relname = bloat_info.tablename
  JOIN pg_namespace nn ON cc.relnamespace = nn.oid AND nn.nspname = bloat_info.schemaname
  WHERE NOT nn.nspname LIKE ANY('{information\_schema,pg\_%,\_analytics,\_realtime,\_supavisor,auth,extensions,pgbouncer,realtime,storage,supabase\_functions,supabase\_migrations,cron,dbdev,graphql,graphql\_public,net,pgmq,pgsodium,pgsodium\_masks,pgtle,repack,tiger,tiger\_data,timescaledb\_%,\_timescaledb\_%,topology,vault}'::text[])
), index_bloat AS (
  SELECT
    schemaname, tablename, bs,
    COALESCE(c2.relname,'?') AS iname, COALESCE(c2.reltuples,0) AS ituples, COALESCE(c2.relpages,0) AS ipages,
    COALESCE(CEIL((c2.reltuples*(datahdr-12))/(bs-20::float)),0) AS iotta -- very rough approximation, assumes all cols
  FROM bloat_info
  JOIN pg_class cc ON cc.relname = bloat_info.tablename
  JOIN pg_namespace nn ON cc.relnamespace = nn.oid AND nn.nspname = bloat_info.schemaname
  JOIN pg_index i ON indrelid = cc.oid
  JOIN pg_class c2 ON c2.oid = i.indexrelid
  WHERE NOT nn.nspname LIKE ANY('{information\_schema,pg\_%,\_analytics,\_realtime,\_supavisor,auth,extensions,pgbouncer,realtime,storage,supabase\_functions,supabase\_migrations,cron,dbdev,graphql,graphql\_public,net,pgmq,pgsodium,pgsodium\_masks,pgtle,repack,tiger,tiger\_data,timescaledb\_%,\_timescaledb\_%,topology,vault}'::text[])
), bloat_summary AS (
  SELECT
    'table' as type,
    FORMAT('%I.%I', schemaname, tablename) AS name,
    ROUND(CASE WHEN otta=0 THEN 0.0 ELSE table_bloat.relpages/otta::numeric END,1) AS bloat,
    CASE WHEN relpages < otta THEN '0' ELSE (bs*(table_bloat.relpages-otta)::bigint)::bigint END AS raw_waste
  FROM table_bloat
    UNION
  SELECT
    'index' as type,
    FORMAT('%I.%I::%I', schemaname, tablename, iname) AS name,
    ROUND(CASE WHEN iotta=0 OR ipages=0 THEN 0.0 ELSE ipages/iotta::numeric END,1) AS bloat,
  CASE WHEN ipages < iotta THEN '0' ELSE (bs*(ipages-iotta))::bigint END AS raw_waste
  FROM index_bloat
)
SELECT type, name, bloat, pg_size_pretty(raw_waste) as waste
FROM bloat_summary
ORDER BY raw_waste DESC, bloat DESC
) TO STDOUT WITH CSV HEADER"
00:00:00.017512,0.1%,1,00:00:00,"COPY (-- Combined index statistics: size, usage percent, seq scans, and mark unused
WITH idx_sizes AS (
  SELECT
    i.indexrelid AS oid,
    FORMAT('%I.%I', n.nspname, c.relname) AS name,
    pg_relation_size(i.indexrelid) AS index_size_bytes
  FROM pg_stat_user_indexes ui
  JOIN pg_index i ON ui.indexrelid = i.indexrelid
  JOIN pg_class c ON ui.indexrelid = c.oid
  JOIN pg_namespace n ON c.relnamespace = n.oid
  WHERE NOT n.nspname LIKE ANY('{information\_schema,pg\_%,\_analytics,\_realtime,\_supavisor,auth,extensions,pgbouncer,realtime,storage,supabase\_functions,supabase\_migrations,cron,dbdev,graphql,graphql\_public,net,pgmq,pgsodium,pgsodium\_masks,pgtle,repack,tiger,tiger\_data,timescaledb\_%,\_timescaledb\_%,topology,vault}'::text[])
),
idx_usage AS (
  SELECT
    indexrelid AS oid,
    idx_scan::bigint AS idx_scans
  FROM pg_stat_user_indexes ui
  WHERE NOT schemaname LIKE ANY('{information\_schema,pg\_%,\_analytics,\_realtime,\_supavisor,auth,extensions,pgbouncer,realtime,storage,supabase\_functions,supabase\_migrations,cron,dbdev,graphql,graphql\_public,net,pgmq,pgsodium,pgsodium\_masks,pgtle,repack,tiger,tiger\_data,timescaledb\_%,\_timescaledb\_%,topology,vault}'::text[])
),
seq_usage AS (
  SELECT
    relid AS oid,
    seq_scan::bigint AS seq_scans
  FROM pg_stat_user_tables
  WHERE NOT schemaname LIKE ANY('{information\_schema,pg\_%,\_analytics,\_realtime,\_supavisor,auth,extensions,pgbouncer,realtime,storage,supabase\_functions,supabase\_migrations,cron,dbdev,graphql,graphql\_public,net,pgmq,pgsodium,pgsodium\_masks,pgtle,repack,tiger,tiger\_data,timescaledb\_%,\_timescaledb\_%,topology,vault}'::text[])
),
usage_pct AS (
  SELECT
    u.oid,
    CASE
      WHEN u.idx_scans IS NULL OR u.idx_scans = 0 THEN 0
      WHEN s.seq_scans IS NULL THEN 100
      ELSE ROUND(100.0 * u.idx_scans / (s.seq_scans + u.idx_scans), 1)
    END AS percent_used
  FROM idx_usage u
  LEFT JOIN seq_usage s ON s.oid = u.oid
)
SELECT
  s.name,
  pg_size_pretty(s.index_size_bytes) AS size,
  COALESCE(up.percent_used, 0)::text || '%' AS percent_used,
  COALESCE(u.idx_scans, 0) AS index_scans,
  COALESCE(sq.seq_scans, 0) AS seq_scans,
  CASE WHEN COALESCE(u.idx_scans, 0) = 0 THEN true ELSE false END AS unused
FROM idx_sizes s
LEFT JOIN idx_usage u ON u.oid = s.oid
LEFT JOIN seq_usage sq ON sq.oid = s.oid
LEFT JOIN usage_pct up ON up.oid = s.oid
ORDER BY s.index_size_bytes DESC
) TO STDOUT WITH CSV HEADER"
00:00:00.008944,0.1%,1,00:00:00,"do $func$
begin
  if not exists (
    select 1
    from pg_roles
    where rolname = 'cli_login_postgres'
  )
  then
    create role cli_login_postgres noinherit login noreplication;
  end if;
  grant postgres to cli_login_postgres;
  set role postgres;
  execute format(
    $$alter role cli_login_postgres with password 'WPjFbvVXAnddPYPYoTrKtlxNQhRhyYWo' valid until %L$$,
    now() + interval '300 second'
  );
end
$func$ language plpgsql"
00:00:00.008449,0.1%,1,00:00:00,"do $func$
begin
  if not exists (
    select 1
    from pg_roles
    where rolname = 'cli_login_postgres'
  )
  then
    create role cli_login_postgres noinherit login noreplication;
  end if;
  grant postgres to cli_login_postgres;
  set role postgres;
  execute format(
    $$alter role cli_login_postgres with password 'yVuyJAtqRVgHEIFmWzVHxqLaBHCTCcsG' valid until %L$$,
    now() + interval '300 second'
  );
end
$func$ language plpgsql"
00:00:00.008128,0.1%,1,00:00:00,"-- Adapted from information_schema.schemata

select
  n.oid as id,
  n.nspname as name,
  u.rolname as owner,
   obj_description(n.oid, $1) AS comment
from
  pg_namespace n,
  pg_roles u
where
  n.nspowner = u.oid
  and (
    pg_has_role(n.nspowner, $2)
    or has_schema_privilege(n.oid, $3)
  )
  and not pg_catalog.starts_with(n.nspname, $4)
  and not pg_catalog.starts_with(n.nspname, $5)
 and not (n.nspname in ($6,$7,$8))

-- source: dashboard
-- user: session:2927a5a6-6d2c-4db3-a3ef-e0f8856f8eb6
-- date: 2026-04-29T21:08:44.504Z"
