name,table_size,index_size,total_size,estimated_row_count,seq_scans
public.mercury_transactions,8768 kB,688 kB,9456 kB,4,4
public.cost_estimate_labor_rows,584 kB,376 kB,960 kB,0,1
public.checklist_instances,472 kB,464 kB,936 kB,0,1
public.material_part_price_history,368 kB,352 kB,720 kB,0,0
public.material_parts,264 kB,328 kB,592 kB,0,1
public.material_part_prices,200 kB,392 kB,592 kB,0,1
public.job_status_events,376 kB,200 kB,576 kB,0,0
public.checklist_instance_assignees,280 kB,288 kB,568 kB,0,0
public.bids_count_rows,328 kB,176 kB,504 kB,0,1
public.jobs_ledger,264 kB,216 kB,480 kB,0,2
public.bid_count_row_custom_prices,176 kB,272 kB,448 kB,1,0
public.clock_sessions,208 kB,232 kB,440 kB,0,180
public.bid_pricing_assignments,144 kB,280 kB,424 kB,0,1
public.people_hours,216 kB,184 kB,400 kB,0,3
public.person_contract_documents,240 kB,96 kB,336 kB,2,1
public.bids,152 kB,176 kB,328 kB,1,29
public.pay_stub_days,136 kB,184 kB,320 kB,0,0
public.jobs_ledger_team_members,104 kB,176 kB,280 kB,0,1
public.mercury_transaction_attributions,136 kB,128 kB,264 kB,0,0
public.mercury_transaction_job_allocations,112 kB,152 kB,264 kB,0,7
public.jobs_ledger_fixtures,152 kB,112 kB,264 kB,0,1
public.contract_template_documents,224 kB,32 kB,256 kB,0,0
public.people_crew_jobs,168 kB,80 kB,248 kB,0,1
public.job_schedule_blocks,96 kB,152 kB,248 kB,0,0
public.address_geocodes,120 kB,96 kB,216 kB,0,0
public.purchase_order_items,96 kB,96 kB,192 kB,0,1
public.reports,104 kB,88 kB,192 kB,0,1
public.prospects,128 kB,64 kB,192 kB,0,1
public.fixture_types,64 kB,120 kB,184 kB,0,1
public.estimates,104 kB,80 kB,184 kB,0,0
public.material_template_items,64 kB,96 kB,160 kB,0,1
public.supply_house_invoices,88 kB,64 kB,152 kB,0,2
public.prospect_comments,80 kB,72 kB,152 kB,0,1
public.purchase_orders,32 kB,112 kB,144 kB,0,2
public.cost_estimates,48 kB,96 kB,144 kB,0,2
public.notification_history,88 kB,56 kB,144 kB,0,2
public.workflow_step_line_items,48 kB,80 kB,128 kB,0,1
public.part_types,48 kB,80 kB,128 kB,0,6
public.jobs_ledger_invoices,48 kB,80 kB,128 kB,0,6
public.stripe_webhook_events,72 kB,48 kB,120 kB,0,0
public.project_workflow_steps,56 kB,64 kB,120 kB,0,123
public.jobs_ledger_payments,56 kB,64 kB,120 kB,2,0
public.material_templates,56 kB,64 kB,120 kB,0,6
public.price_book_entries,64 kB,48 kB,112 kB,0,3
public.user_app_activity_daily,56 kB,56 kB,112 kB,0,0
public.bids_takeoff_rough_part_lines,48 kB,64 kB,112 kB,0,0
public.customers,56 kB,48 kB,104 kB,0,16
public.pay_stubs,48 kB,48 kB,96 kB,0,0
public.people_crew_bids,48 kB,48 kB,96 kB,0,2
public.pay_stub_payments,48 kB,48 kB,96 kB,0,0
public.inspections,16 kB,80 kB,96 kB,0,0
public.prospect_timer_events,48 kB,48 kB,96 kB,0,0
public.user_bid_notes_read_state,48 kB,48 kB,96 kB,0,0
public.team_feedback_peer_ratings,8192 bytes,88 kB,96 kB,0,0
public.jobs_tally_parts,16 kB,80 kB,96 kB,0,1
public.assembly_types,16 kB,80 kB,96 kB,0,1
public.team_feedback_submissions,16 kB,80 kB,96 kB,0,0
public.bids_takeoff_template_mappings,24 kB,64 kB,88 kB,0,0
public.user_labels,40 kB,48 kB,88 kB,0,0
public.dispatch_request_notes,48 kB,32 kB,80 kB,0,0
public.team_leader_assignments,16 kB,64 kB,80 kB,0,270206
public.project_workflows,48 kB,32 kB,80 kB,0,123
public.service_types,16 kB,64 kB,80 kB,0,3631
public.job_collect_payment_flows,16 kB,64 kB,80 kB,0,0
public.bids_submission_entries,48 kB,32 kB,80 kB,0,10
public.dispatch_request_dismissals,40 kB,40 kB,80 kB,0,0
