name,index,index_size,index_scans
public.mercury_transactions,mercury_transactions_account_posted_idx,216 kB,0
public.material_part_price_history,idx_price_history_changed_at,160 kB,0
public.material_parts,idx_material_parts_name,88 kB,0
public.material_part_prices,idx_material_part_prices_price,88 kB,0
public.material_parts,idx_material_parts_service_type_name,80 kB,0
public.job_status_events,idx_job_status_events_job_id,56 kB,0
public.material_part_prices,idx_material_part_prices_part_id,56 kB,0
public.job_status_events,idx_job_status_events_changed_at,56 kB,0
public.bid_pricing_assignments,idx_bid_pricing_assignments_count_row_id,56 kB,0
public.material_part_price_history,idx_price_history_part_id,56 kB,0
public.people_hours,idx_people_hours_person_date,56 kB,0
public.pay_stub_days,idx_pay_stub_days_person_date,48 kB,0
public.material_part_price_history,idx_price_history_supply_house_id,48 kB,0
public.material_parts,idx_material_parts_service_type_id,40 kB,0
public.notification_history,idx_notification_history_recipient_sent,40 kB,0
public.jobs_ledger,idx_jobs_ledger_job_name,40 kB,0
public.mercury_transaction_attributions,mercury_transaction_attributions_user_id_idx,40 kB,0
public.job_schedule_blocks,idx_job_schedule_blocks_shared_group,40 kB,0
public.address_geocodes,address_geocodes_geocoded_at_idx,40 kB,0
public.material_parts,idx_material_parts_manufacturer,32 kB,0
public.material_parts,idx_material_parts_part_type_id,32 kB,0
public.bid_pricing_assignments,idx_bid_pricing_assignments_price_book_entry_id,32 kB,0
public.material_part_prices,idx_material_part_prices_supply_house_id,32 kB,0
public.bids,idx_bids_selected_labor_book_version_id,16 kB,0
public.bids,idx_bids_selected_takeoff_book_version_id,16 kB,0
public.bids,idx_bids_created_by,16 kB,0
public.bids,idx_bids_service_type_id,16 kB,0
public.bid_pricing_assignments,idx_bid_pricing_assignments_fixed_price,16 kB,0
public.purchase_order_items,idx_purchase_order_items_price_confirmed_at,16 kB,0
public.bids,idx_bids_selected_price_book_version_id,16 kB,0
public.bids,idx_bids_gc_builder_id,16 kB,0
public.bid_pricing_assignments,idx_bid_pricing_assignments_price_book_version_id,16 kB,0
public.prospects,idx_prospects_created_by,16 kB,0
public.prospect_comments,idx_prospect_comments_prospect_id,16 kB,0
public.prospect_comments,idx_prospect_comments_created_at,16 kB,0
public.clock_sessions,idx_clock_sessions_pending,16 kB,0
public.people_crew_jobs,idx_people_crew_jobs_work_date,16 kB,0
public.people_crew_jobs,idx_people_crew_jobs_person,16 kB,0
public.pay_stub_days,idx_pay_stub_days_pay_stub_id,16 kB,0
public.clock_sessions,idx_clock_sessions_salary_user_date,16 kB,0
public.mercury_transaction_job_allocations,mercury_transaction_job_allocations_job_id_idx,16 kB,0
public.jobs_ledger,idx_jobs_ledger_service_type_id,16 kB,0
public.estimates,estimates_master_status_updated,16 kB,0
public.bids,idx_bids_customer_id,16 kB,0
public.bids,idx_bids_estimator_id,16 kB,0
public.purchase_order_items,idx_purchase_order_items_source_template_id,16 kB,0
public.purchase_order_items,idx_purchase_order_items_sequence_order,16 kB,0
public.jobs_ledger,idx_jobs_ledger_last_work_date,16 kB,0
public.supply_house_invoices,idx_supply_house_invoices_supply_house_id,16 kB,0
public.supply_house_invoices,idx_supply_house_invoices_is_paid,16 kB,0
public.supply_house_invoices,idx_supply_house_invoices_due_date,16 kB,0
public.purchase_order_items,idx_purchase_order_items_part_id,16 kB,0
public.purchase_order_items,idx_purchase_order_items_po_id,16 kB,0
public.prospects,idx_prospects_master_user_id,16 kB,0
public.bids,idx_bids_bid_number,16 kB,0
public.jobs_ledger,idx_jobs_ledger_project_id,16 kB,0
public.jobs_ledger,idx_jobs_ledger_bid_id,8192 bytes,0
public.cost_estimate_labor_rows,idx_cost_estimate_labor_rows_estimate_id,48 kB,1
public.mercury_transactions,mercury_transactions_posted_at_desc_idx,136 kB,6
public.job_schedule_blocks,idx_job_schedule_blocks_assignee_work_date,40 kB,2
public.jobs_ledger,idx_jobs_ledger_master_user_id,16 kB,2
public.jobs_ledger_team_members,idx_jobs_ledger_team_members_user_id,16 kB,2
public.bid_count_row_custom_prices,idx_bid_count_row_custom_prices_bid_version,40 kB,6
public.mercury_transaction_job_allocations,mercury_transaction_job_allocations_mercury_transaction_id_idx,40 kB,8
public.bids_count_rows,idx_bids_count_rows_bid_id,48 kB,10
public.jobs_ledger,idx_jobs_ledger_hcp_number,48 kB,10
public.bid_pricing_assignments,idx_bid_pricing_assignments_bid_id,16 kB,6
public.people_hours,idx_people_hours_work_date,16 kB,6
public.bids,idx_bids_bid_due_date,16 kB,9
public.clock_sessions,idx_clock_sessions_user_open,16 kB,20
