name,size,percent_used,index_scans,seq_scans,unused
public.checklist_instance_assignees_pkey,288 kB,100%,1434143,0,f
public.checklist_instances_checklist_item_id_scheduled_date_key,264 kB,100%,856,0,f
public.mercury_transactions_account_posted_idx,224 kB,0%,0,0,t
public.cost_estimate_labor_rows_cost_estimate_id_fixture_key,208 kB,0%,0,0,t
public.mercury_transactions_pkey,176 kB,100%,3595,0,f
public.checklist_instances_pkey,176 kB,100%,110453,0,f
public.mercury_transactions_mercury_id_key,160 kB,100%,32,0,f
public.idx_price_history_changed_at,160 kB,0%,0,0,t
public.bids_count_rows_pkey,152 kB,100%,7,0,f
public.bid_count_row_custom_prices_bid_id_count_row_id_price_book__key,144 kB,100%,1,0,f
public.mercury_transactions_posted_at_desc_idx,136 kB,100%,448,0,f
public.material_part_prices_part_id_supply_house_id_key,128 kB,0%,0,0,t
public.cost_estimate_labor_rows_pkey,120 kB,100%,14,0,f
public.bid_pricing_assignments_bid_id_count_row_id_version_key,96 kB,0%,0,0,t
public.material_part_price_history_pkey,88 kB,0%,0,0,t
public.bid_count_row_custom_prices_pkey,88 kB,0%,0,0,t
public.material_part_prices_pkey,88 kB,0%,0,0,t
public.idx_material_part_prices_price,88 kB,0%,0,0,t
public.mercury_transaction_attributions_pkey,88 kB,100%,822,0,f
public.idx_material_parts_name,88 kB,0%,0,0,t
public.job_status_events_pkey,88 kB,0%,0,0,t
public.idx_material_parts_service_type_name,80 kB,100%,1,0,f
public.jobs_ledger_team_members_job_id_user_id_key,64 kB,100%,2,0,f
public.pay_stub_days_pay_stub_id_work_date_key,64 kB,0%,0,0,t
public.jobs_ledger_team_members_pkey,56 kB,0%,0,0,t
public.idx_bid_pricing_assignments_count_row_id,56 kB,100%,1,0,f
public.jobs_ledger_fixtures_pkey,56 kB,0%,0,0,t
public.idx_material_part_prices_part_id,56 kB,0%,0,0,t
public.people_hours_pkey,56 kB,100%,8,0,f
public.idx_job_status_events_changed_at,56 kB,0%,0,0,t
public.people_hours_person_name_work_date_key,56 kB,100%,8,0,f
public.bid_pricing_assignments_pkey,56 kB,0%,0,0,t
public.idx_clock_sessions_user_date,56 kB,100%,19171,0,f
public.pay_stub_days_pkey,56 kB,0%,0,0,t
public.material_parts_pkey,56 kB,100%,93,0,f
public.jobs_ledger_pkey,56 kB,100%,120549,0,f
public.address_geocodes_pkey,56 kB,100%,110,0,f
public.idx_jobs_ledger_fixtures_job_id,56 kB,100%,89,0,f
public.idx_people_hours_person_date,56 kB,100%,100,0,f
public.idx_job_status_events_job_id,56 kB,0%,0,0,t
public.mercury_transaction_job_allocations_tx_job_unique,56 kB,100%,178,0,f
public.clock_sessions_pkey,56 kB,100%,1170,0,f
public.idx_price_history_part_id,56 kB,0%,0,0,t
public.idx_price_history_supply_house_id,48 kB,0%,0,0,t
public.idx_jobs_ledger_team_members_job_id,48 kB,100%,22463,0,f
public.idx_cost_estimate_labor_rows_estimate_id,48 kB,100%,38,0,f
public.idx_clock_sessions_job_ledger_active_clocked_in,48 kB,100%,6597,0,f
public.people_crew_jobs_pkey,48 kB,100%,8,0,f
public.idx_jobs_ledger_hcp_number,48 kB,100%,45,0,f
public.idx_bids_count_rows_bid_id,48 kB,100%,509,0,f
public.idx_pay_stub_days_person_date,48 kB,0%,0,0,t
public.job_schedule_blocks_pkey,40 kB,100%,8,0,f
public.prospect_comments_pkey,40 kB,0%,0,0,t
public.idx_job_schedule_blocks_shared_group,40 kB,0%,0,0,t
public.user_bid_notes_read_state_pkey,40 kB,100%,476,0,f
public.dispatch_request_dismissals_pkey,40 kB,100%,7,0,f
public.mercury_transaction_job_allocations_pkey,40 kB,0%,0,0,t
public.idx_job_schedule_blocks_assignee_work_date,40 kB,100%,557,0,f
public.mercury_transaction_job_allocations_mercury_transaction_id_idx,40 kB,100%,61512,0,f
