query,total_exec_time,prop_exec_time,ncalls,sync_io_time
"SELECT wal->>$5 as type,
       wal->>$6 as schema,
       wal->>$7 as table,
       COALESCE(wal->>$8, $9) as columns,
       COALESCE(wal->>$10, $11) as record,
       COALESCE(wal->>$12, $13) as old_record,
       wal->>$14 as commit_timestamp,
       subscription_ids,
       errors,
       slot_changes_count
FROM realtime.list_changes($1, $2, $3, $4)",05:09:51.18809,27.0%,"2,016,924",00:00:00
"select set_config('search_path', $1, true), set_config($2, $3, true), set_config('role', $4, true), set_config('request.jwt.claims', $5, true), set_config('request.method', $6, true), set_config('request.path', $7, true), set_config('request.headers', $8, true), set_config('request.cookies', $9, true)",00:00:52.518682,0.1%,"481,099",00:00:00
SET client_encoding = 'UTF8',00:00:01.771302,0.0%,"126,948",00:00:00
SET client_min_messages TO WARNING,00:00:00.538265,0.0%,"126,948",00:00:00
COMMIT,00:00:00.244731,0.0%,"119,815",00:00:00
BEGIN ISOLATION LEVEL READ COMMITTED READ ONLY,00:00:02.019128,0.0%,"113,082",00:00:00
"WITH pgrst_source AS ( SELECT ""public"".""users"".""id"", ""public"".""users"".""name"" FROM ""public"".""users"" WHERE  ""public"".""users"".""id"" = ANY ($1)    LIMIT $2 OFFSET $3 )  SELECT $4::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $5) AS body, nullif(current_setting($6, $7), $8) AS response_headers, nullif(current_setting($9, $10), $11) AS response_status, $12 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",00:01:41.61545,0.1%,"70,837",00:00:00
"WITH pgrst_source AS ( SELECT ""public"".""people_pay_config"".""person_name"", ""public"".""people_pay_config"".""is_salary"" FROM ""public"".""people_pay_config"" WHERE  ""public"".""people_pay_config"".""person_name"" = ANY ($1)    LIMIT $2 OFFSET $3 )  SELECT $4::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $5) AS body, nullif(current_setting($6, $7), $8) AS response_headers, nullif(current_setting($9, $10), $11) AS response_status, $12 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",00:47:12.020434,4.1%,"69,419",00:00:00
"with sub_tables as (
        select
        rr.entity
        from
        pg_publication_tables pub,
        lateral (
        select
        format($8, pub.schemaname, pub.tablename)::regclass entity
        ) rr
        where
        pub.pubname = $1
        and pub.schemaname like (case $2 when $9 then $10 else $2 end)
        and pub.tablename like (case $3 when $11 then $12 else $3 end)
     )
     insert into realtime.subscription as x(
        subscription_id,
        entity,
        filters,
        claims,
        action_filter
      )
      select
        $4::text::uuid,
        sub_tables.entity,
        $6,
        $5,
        $7
      from
        sub_tables
        on conflict
        (subscription_id, entity, filters, action_filter)
        do update set
        claims = excluded.claims,
        created_at = now()
      returning
         id",00:05:00.170379,0.4%,"48,369",00:00:00
BEGIN,00:00:00.535263,0.0%,"43,401",00:00:00
