name,index,index_size,index_scans
public.mercury_transactions,mercury_transactions_account_posted_idx,248 kB,0
public.material_part_price_history,idx_price_history_changed_at,160 kB,0
public.mercury_accounting_label_suggestions,mercury_accounting_label_suggestions_mercury_tx_idx,88 kB,0
public.material_parts,idx_material_parts_name,88 kB,0
public.job_status_events,idx_job_status_events_changed_at,64 kB,0
public.material_part_price_history,idx_price_history_part_id,56 kB,0
public.material_part_price_history,idx_price_history_supply_house_id,48 kB,0
public.mercury_transaction_attributions,mercury_transaction_attributions_user_id_idx,40 kB,0
public.address_geocodes,address_geocodes_geocoded_at_idx,40 kB,0
public.bid_pricing_assignments,idx_bid_pricing_assignments_fixed_price,32 kB,0
public.material_parts,idx_material_parts_part_type_id,32 kB,0
public.material_part_prices,idx_material_part_prices_supply_house_id,32 kB,0
public.material_parts,idx_material_parts_manufacturer,32 kB,0
public.stripe_webhook_events,stripe_webhook_events_received_at_idx,16 kB,0
public.purchase_order_items,idx_purchase_order_items_po_id,16 kB,0
public.purchase_order_items,idx_purchase_order_items_part_id,16 kB,0
public.purchase_order_items,idx_purchase_order_items_price_confirmed_at,16 kB,0
public.bids,idx_bids_created_by,16 kB,0
public.bids,idx_bids_gc_builder_id,16 kB,0
public.bids,idx_bids_estimator_id,16 kB,0
public.purchase_order_items,idx_purchase_order_items_source_template_id,16 kB,0
public.bids,idx_bids_selected_labor_book_version_id,16 kB,0
public.bids,idx_bids_selected_takeoff_book_version_id,16 kB,0
public.bids,idx_bids_service_type_id,16 kB,0
public.supply_house_invoices,idx_supply_house_invoices_is_paid,16 kB,0
public.supply_house_invoices,idx_supply_house_invoices_due_date,16 kB,0
public.prospects,idx_prospects_master_user_id,16 kB,0
public.bids,idx_bids_bid_number,16 kB,0
public.prospects,idx_prospects_created_by,16 kB,0
public.estimates,estimates_master_status_updated,16 kB,0
public.jobs_ledger,idx_jobs_ledger_last_work_date,16 kB,0
public.jobs_ledger,idx_jobs_ledger_service_type_id,16 kB,0
public.bids,bids_working_board_archived_at_partial,16 kB,0
public.bid_pricing_assignments,idx_bid_pricing_assignments_price_book_entry_id,40 kB,1
public.mercury_accounting_label_suggestions,mercury_accounting_label_suggestions_rule_id_idx,40 kB,1
public.pay_stub_days,idx_pay_stub_days_person_date,56 kB,2
public.people_crew_jobs,idx_people_crew_jobs_person_id,16 kB,1
public.clock_sessions,idx_clock_sessions_pending,16 kB,1
public.people_crew_jobs,idx_people_crew_jobs_person,16 kB,1
public.bids,idx_bids_selected_price_book_version_id,16 kB,1
public.pay_stub_days,idx_pay_stub_days_person_id,16 kB,1
public.people_hours,idx_people_hours_person_id,16 kB,3
public.job_status_events,idx_job_status_events_job_id,56 kB,13
public.material_parts,idx_material_parts_service_type_name,80 kB,19
public.pay_stub_days,idx_pay_stub_days_pay_stub_id,40 kB,11
public.material_parts,idx_material_parts_service_type_id,40 kB,12
public.jobs_ledger,idx_jobs_ledger_project_id,16 kB,5
public.job_schedule_blocks,idx_job_schedule_blocks_shared_group,40 kB,16
public.jobs_ledger,idx_jobs_ledger_job_name,40 kB,20
public.prospect_comments,idx_prospect_comments_prospect_id,16 kB,13
public.bid_pricing_assignments,idx_bid_pricing_assignments_price_book_version_id,32 kB,46
public.supply_house_invoices,idx_supply_house_invoices_supply_house_id,16 kB,25
public.jobs_ledger,idx_jobs_ledger_bid_id,8192 bytes,15
public.mercury_drag_sort_labels,mercury_drag_sort_labels_sort_order_idx,16 kB,48
