name,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,rowcount,dead_rowcount,autovacuum_threshold,expect_autovacuum,autoanalyze_threshold,expect_autoanalyze
public._freeze_crew_lead_jobs_backup,"","","",2026-05-16 15:51,           116,             0,            73,no,            62,no
public.address_geocodes,"","","","",           469,            22,           144,no,            97,no
public.app_settings,"","","","",            35,             0,            57,no,            54,no
public.bid_count_row_custom_prices,"","","",2026-05-14 18:11,"         1,599",           275,           370,no,           210,yes
public.bid_pricing_assignments,"","","",2026-05-13 17:58,"         1,152",           149,           280,no,           165,no
public.bid_working_board_placements,"","","","",            15,             1,            53,no,            52,no
public.bids,"",2026-05-13 14:42,"",2026-05-15 11:09,           244,            32,            99,no,            74,no
public.bids_count_rows,"",2026-05-12 17:53,"",2026-05-12 17:54,"         3,167",           271,           683,no,           367,no
public.bids_submission_entries,"","","",2026-05-01 20:28,           131,            13,            76,no,            63,no
public.bids_takeoff_rough_part_lines,"","","","",            38,             0,            58,no,            54,no
public.checklist_instance_assignees,"","","","","         2,568",             0,           564,no,           307,no
public.checklist_instances,"","","","","         2,557",             2,           561,no,           306,no
public.checklist_item_assignees,"","","","",            48,             0,            60,no,            55,no
public.checklist_items,"","","","",            51,             0,            60,no,            55,no
public.checklist_tech_tree_group_tasks,"","","","",            82,             0,            66,no,            58,no
public.checklist_tech_tree_groups,"","","","",            24,             0,            55,no,            52,no
public.clock_sessions,"",2026-05-15 10:00,"",2026-05-15 18:51,"         1,047",           163,           259,no,           155,yes
public.common_jobs,"","","","",             1,             0,            50,no,            50,no
public.cost_estimate_labor_rows,"","","",2026-05-13 14:44,"         3,023",           307,           655,no,           352,no
public.cost_estimates,"","","","",            49,             2,            60,no,            55,no
public.customers,"","","","",            49,             0,            60,no,            55,no
public.dispatch_request_dismissals,"","","",2026-05-05 17:24,           301,             0,           110,no,            80,no
public.dispatch_requests,"","","","",            55,             3,            61,no,            56,no
public.estimates,"","","","",             3,             0,            51,no,            50,no
public.fixture_types,"","","","",           135,             0,            77,no,            64,no
public.hours_days_correct,"","","","",            29,             1,            56,no,            53,no
public.hours_reviewed,"","","","",             1,             0,            50,no,            50,no
public.job_schedule_blocks,"","","",2026-05-15 18:44,           595,           129,           169,no,           110,yes
public.job_status_events,"","","","","         1,577",             0,           365,no,           208,no
public.jobs_ledger,"",2026-05-10 20:39,"",2026-05-15 18:50,           642,           150,           178,no,           114,yes
public.jobs_ledger_fixtures,"","","",2026-05-13 22:02,           586,            79,           167,no,           109,no
public.jobs_ledger_invoices,"",2026-05-12 15:13,"",2026-05-15 08:05,            61,            61,            62,no,            56,yes
public.jobs_ledger_payments,"","","","",            88,            11,            68,no,            59,no
public.jobs_ledger_team_members,"","","",2026-05-15 22:51,           834,            53,           217,no,           133,no
public.jobs_ledger_thread_notes,"","","","",            56,             2,            61,no,            56,no
public.jobs_tally_parts,"","","","",            13,             0,            53,no,            51,no
public.labor_book_entries,"","","","",            18,             0,            54,no,            52,no
public.labor_book_versions,"","","","",             1,             0,            50,no,            50,no
public.material_part_price_history,"","","","","         1,413",             0,           333,no,           191,no
public.material_part_prices,"","","","","         1,436",             0,           337,no,           194,no
public.material_parts,"","","","",           904,             0,           231,no,           140,no
public.material_template_items,"","","","",           127,             0,            75,no,            63,no
public.material_templates,"","","","",            63,             0,            63,no,            56,no
public.mercury_accounting_label_rules,"","","",2026-05-06 02:35,            45,             1,            59,no,            54,no
